category,extra_name,main_name,price,subcategory,unit_price
Frukt og grønt,"i Pose, Etiopia/ Kenya, 20 g",Fersk Basilikum,"kr 23,80",Urter og spirer,"kr 1190,00 per kg"
Frukt og grønt,"i Beger, Etiopia/ Spania, 20 g",Fersk Koriander,"kr 26,80",Urter og spirer,"kr 1340,00 per kg"
Frukt og grønt,"i Beger, Etiopia/ Norsk, 20 g",Fersk Kruspersille,"kr 26,80",Urter og spirer,"kr 1340,00 per kg"
Frukt og grønt,"i Beger, Etiopia, 20 g",Fersk Gressløk,"kr 18,60",Urter og spirer,"kr 930,00 per kg"
Frukt og grønt,"i Beger, Etiopia, 20 g",Fersk Bladpersille,"kr 29,80",Urter og spirer,"kr 1490,00 per kg"
Frukt og grønt,"i Beger, Etiopia, 20 g",Fersk Kjørvel,"kr 26,80",Urter og spirer,"kr 1340,00 per kg"
Frukt og grønt,"i Beger, Etiopia, 20 g",Fersk Dill,"kr 26,80",Urter og spirer,"kr 1340,00 per kg"
Frukt og grønt,"i Beger, Etiopia, 20 g",Fersk Mynte,"kr 26,80",Urter og spirer,"kr 1340,00 per kg"
Frukt og grønt,"i Beger, Etiopia, 20 g",Fersk Oregano,"kr 26,80",Urter og spirer,"kr 1340,00 per kg"
Frukt og grønt,"i Beger, Etiopia, 20 g",Fersk Rosmarin,"kr 26,80",Urter og spirer,"kr 1340,00 per kg"
Frukt og grønt,"i Beger, Etiopia, 20 g",Fersk Salvie,"kr 26,80",Urter og spirer,"kr 1340,00 per kg"
Frukt og grønt,"i Beger, Etiopia, 20 g",Fersk Sitronmelisse,"kr 26,80",Urter og spirer,"kr 1340,00 per kg"
Frukt og grønt,"i Beger, Etiopia, 20 g",Fersk Timian,"kr 26,80",Urter og spirer,"kr 1340,00 per kg"
Frukt og grønt,"Norge, 100 g",Alfalfaspirer,"kr 24,80",Urter og spirer,"kr 248,00 per kg"
Frukt og grønt,"Norge, 180 g",Bønnespirer,"kr 19,80",Urter og spirer,"kr 110,00 per kg"
Frukt og grønt,"Norge, 50 g",Sukkerertspirer,"kr 31,90",Urter og spirer,"kr 638,00 per kg"
Frukt og grønt,"i Beger, Etiopia, 20 g",Fersk Estragon,"kr 26,80",Urter og spirer,"kr 1340,00 per kg"
Frukt og grønt,"Frisk i Pose, Tyskland, 20 g",Thai Basilikum Gourmet,"kr 26,80",Urter og spirer,"kr 1340,00 per kg"
Frukt og grønt,"Norge, 50 g",Purreløkspirer,"kr 31,80",Urter og spirer,"kr 636,00 per kg"
Frukt og grønt,"Norge, 100 g","Spiresnacks, Mix av Bønner, Erter & Linser","kr 34,00",Urter og spirer,"kr 340,00 per kg"
Frukt og grønt,"Norge, 50 g","Taco spiremix -Brokolli, Kløver, Mungbønner","kr 28,50",Urter og spirer,"kr 570,00 per kg"
Frukt og grønt,"Norge, 50 g","Spiremix, Spicymix av Brocolli, Reddik, Kløver","kr 30,90",Urter og spirer,"kr 618,00 per kg"
Frukt og grønt,"Norge, 50 g",Kløverspirer beger,"kr 28,50",Urter og spirer,"kr 570,00 per kg"
Frukt og grønt,"Norge, 50 g",Brokkolispirer,"kr 31,80",Urter og spirer,"kr 636,00 per kg"
Frukt og grønt,"Norge, 50 g",Reddikspirer,"kr 24,80",Urter og spirer,"kr 496,00 per kg"
Blomster og planter,"35 cm, 12 stk",Roser Mix Kalde Farger,"kr 59,90",Roser,"kr 4,99 per stk"
Iceland,"4 stk, 204 g",Mars Iskrem,"kr 54,90","Kaker, dessert og iskrem","kr 269,12 per kg"
Magasiner og bøker,1 stk,Se og Hør,"kr 55,00",Magasiner,"kr 55,00 per stk"
Blomster og planter,"50 cm, 10 stk",Roser Hvit,"kr 109,00",Roser,"kr 10,90 per stk"
Blomster og planter,"50 cm, 10 stk",‘Nightingale’ Lilla,"kr 109,90",Roser,"kr 10,99 per stk"
Blomster og planter,"50 cm, 10 stk",Roser Belle Rose,"kr 109,00",Roser,"kr 10,90 per stk"
Blomster og planter,"50 cm, 10 stk",Roser Rød,"kr 109,90",Roser,"kr 10,99 per stk"
Iceland,"8 x 65ml, 520 ml",Saftis med Fruktsmak,"kr 79,90","Kaker, dessert og iskrem","kr 9,99 per stk"
Iceland,"4 x 100ml, 400 ml",Magnum Mint Iskrem,"kr 59,90","Kaker, dessert og iskrem","kr 14,98 per stk"
Iceland,"8 x 110ml, 880 ml",Magnum Classic Iskrem,"kr 119,00","Kaker, dessert og iskrem","kr 14,88 per stk"
Iceland,"8 x 110ml, 880 ml",Magnum White Chocolate Iskrem,"kr 119,00","Kaker, dessert og iskrem","kr 14,88 per stk"
Iceland,"0,9 l",Trippel Sjokolade Iskrem,"kr 64,90","Kaker, dessert og iskrem","kr 72,11 per l"
Iceland,"0,9 l",Vanilla Iskrem,"kr 64,90","Kaker, dessert og iskrem","kr 72,11 per l"
Iceland,455 g,Ostekake Toffee,"kr 49,90","Kaker, dessert og iskrem","kr 109,67 per kg"
Iceland,574 g,Bringebær og Pistasj Pavlova,"kr 149,00","Kaker, dessert og iskrem","kr 259,58 per kg"
Magasiner og bøker,1 stk,Se og Hør Extra,"kr 55,00",Magasiner,"kr 55,00 per stk"
Magasiner og bøker,1 stk,Hjemmet,"kr 54,00",Magasiner,"kr 54,00 per stk"
Magasiner og bøker,1 stk,Donald Duck & Co,"kr 54,90",Magasiner,"kr 54,90 per stk"
Magasiner og bøker,1 stk,Her og Nå,"kr 46,00",Magasiner,"kr 46,00 per stk"
Magasiner og bøker,1 stk,Kamille,"kr 89,00",Magasiner,"kr 89,00 per stk"
Magasiner og bøker,1 stk,Norsk Ukeblad,"kr 59,00",Magasiner,"kr 59,00 per stk"
Magasiner og bøker,1 stk,Allers,"kr 55,00",Magasiner,"kr 55,00 per stk"
Magasiner og bøker,1 stk,Elle,"kr 89,00",Magasiner,"kr 89,00 per stk"
Magasiner og bøker,1 stk,Costume,"kr 99,95",Magasiner,"kr 99,95 per stk"
Magasiner og bøker,1 stk,Vi Menn,"kr 79,90",Magasiner,"kr 79,90 per stk"
Frukt og grønt,600 g,Pommes Strips,"kr 21,30",Frossen frukt og grønt,"kr 35,50 per kg"
Serveringsklare retter,1 stk,Nysmurt Ciabatta Med Ost & Skinke,"kr 59,90",Ferdig påsmurt,"kr 59,90 per stk"
Pizza og taco,225 g,Hvitløk & Ost Pizzabrød,"kr 34,90",Snacking,"kr 155,11 per kg"
Iceland,500 g,Eple Crumble,"kr 49,90","Kaker, dessert og iskrem","kr 99,80 per kg"
Frukt og grønt,"0,45 kg",Opphøgde Poteter med Grillkrydder,"kr 34,40",Frossen frukt og grønt,"kr 76,44 per kg"
Frukt og grønt,600 g,Potetbåter Express,"kr 30,50",Frossen frukt og grønt,"kr 50,83 per kg"
Frukt og grønt,"1,2 kg",Pommesfrites,"kr 31,80",Frossen frukt og grønt,"kr 26,50 per kg"
Frukt og grønt,"Økologisk, 250 g",Jordbær,"kr 28,20",Frossen frukt og grønt,"kr 112,80 per kg"
Frukt og grønt,"Økologisk, 250 g",Blåbær Frosne,"kr 28,00",Frossen frukt og grønt,"kr 112,00 per kg"
Frukt og grønt,300 g,Mangoterninger Fryst,"kr 29,60",Frossen frukt og grønt,"kr 98,67 per kg"
Frukt og grønt,300 g,Avokadoterninger Fryst,"kr 59,90",Frossen frukt og grønt,"kr 199,67 per kg"
Frukt og grønt,75 g,Oppkuttet Chilli,"kr 29,90",Frossen frukt og grønt,"kr 398,67 per kg"
Serveringsklare retter,1 stk,Nysmurt Ciabatta Med Kylling,"kr 59,90",Ferdig påsmurt,"kr 59,90 per stk"
Serveringsklare retter,1 stk,Nysmurt Ciabatta Med Røkt Laks og Eggerøre,"kr 59,90",Ferdig påsmurt,"kr 59,90 per stk"
Serveringsklare retter,220 g,Nysmurt Ciabatta Med Roastbeef,"kr 59,90",Ferdig påsmurt,"kr 272,27 per kg"
Serveringsklare retter,1 stk,Nysmurt Vegetar Wraps,"kr 49,90",Ferdig påsmurt,"kr 49,90 per stk"
Serveringsklare retter,1 stk,Nysmurt Wrap Med Ost og Skinke,"kr 49,90",Ferdig påsmurt,"kr 49,90 per stk"
Serveringsklare retter,1 stk,Kyllingsalat,"kr 109,00",Ferdig påsmurt,"kr 109,00 per stk"
Serveringsklare retter,1 stk,Salat med Ost Og skinke,"kr 109,00",Ferdig påsmurt,"kr 109,00 per stk"
Iceland,225 g,Hvitløk & Ost Pizzabrød,"kr 34,90",Pizza,"kr 155,11 per kg"
Pizza og taco,"Ost & Skinke Flerpakk, 440 g",Hold-it,"kr 63,10",Snacking,"kr 143,41 per kg"
Pizza og taco,170 g,Billys Pan Pizza Original,"kr 20,80",Snacking,"kr 122,35 per kg"
Pizza og taco,120 g,Gorbys Pirog Original,"kr 17,40",Snacking,"kr 145,00 per kg"
Pizza og taco,"Ost & Skinke, 155 g",Grandiosa Pizzarull,"kr 22,80",Snacking,"kr 147,10 per kg"
Pizza og taco,305 g,Calzone Pepperoni & Pesto,"kr 38,20",Snacking,"kr 125,25 per kg"
Pizza og taco,305 g,Calzone Ost & Skinke,"kr 38,20",Snacking,"kr 125,25 per kg"
